symptom_name,condition_name,strength
Runny Nose,Common Cold,0.9
Cough,Common Cold,0.8
Sore Throat,Common Cold,0.7
Sneezing,Common Cold,0.8
Stuffy Nose,Common Cold,0.7
Fatigue,Common Cold,0.5
Fever,Influenza,0.9
Muscle Aches,Influenza,0.8
Fatigue,Influenza,0.9
Headache,Influenza,0.7
Cough,Influenza,0.6
Chills,Influenza,0.7
Weakness,Influenza,0.6
Fever,Pneumonia,0.9
Cough,Pneumonia,0.9
Chest Pain,Pneumonia,0.8
Shortness of Breath,Pneumonia,0.8
Fatigue,Pneumonia,0.7
Chills,Pneumonia,0.6
Cough,Bronchitis,0.9
Chest Pain,Bronchitis,0.6
Fatigue,Bronchitis,0.5
Shortness of Breath,Bronchitis,0.4
Wheezing,Asthma Attack,0.9
Shortness of Breath,Asthma Attack,0.9
Chest Pain,Asthma Attack,0.7
Cough,Asthma Attack,0.6
Fever,COVID-19,0.8
Cough,COVID-19,0.8
Fatigue,COVID-19,0.7
Loss of Appetite,COVID-19,0.6
Muscle Aches,COVID-19,0.5
Shortness of Breath,COVID-19,0.5
Runny Nose,Allergic Rhinitis,0.9
Sneezing,Allergic Rhinitis,0.9
Stuffy Nose,Allergic Rhinitis,0.8
Headache,Sinusitis,0.8
Stuffy Nose,Sinusitis,0.9
Runny Nose,Sinusitis,0.6
Sore Throat,Strep Throat,0.9
Fever,Strep Throat,0.8
Headache,Strep Throat,0.5
Chest Pain,Pneumothorax,0.9
Shortness of Breath,Pneumothorax,0.9
Chest Pain,Pulmonary Embolism,0.8
Shortness of Breath,Pulmonary Embolism,0.9
Sore Throat,Laryngitis,0.9
Cough,Laryngitis,0.6
Cough,Croup,0.9
Sore Throat,Croup,0.6
Fever,Croup,0.5
Fever,RSV,0.7
Cough,RSV,0.8
Runny Nose,RSV,0.7
Fatigue,RSV,0.6
Cough,Whooping Cough,0.9
Fatigue,Whooping Cough,0.6
Nausea,Food Poisoning,0.9
Vomiting,Food Poisoning,0.9
Diarrhea,Food Poisoning,0.8
Stomach Pain,Food Poisoning,0.8
Fever,Food Poisoning,0.5
Weakness,Food Poisoning,0.6
Stomach Pain,Gastritis,0.9
Nausea,Gastritis,0.7
Heartburn,Gastritis,0.6
Loss of Appetite,Gastritis,0.5
Stomach Pain,Appendicitis,0.9
Nausea,Appendicitis,0.8
Vomiting,Appendicitis,0.7
Fever,Appendicitis,0.6
Heartburn,GERD,0.9
Chest Pain,GERD,0.6
Cough,GERD,0.4
Nausea,Stomach Flu,0.9
Vomiting,Stomach Flu,0.8
Diarrhea,Stomach Flu,0.8
Fever,Stomach Flu,0.6
Fatigue,Stomach Flu,0.7
Constipation,Constipation,0.9
Stomach Pain,Constipation,0.5
Bloating,Constipation,0.6
Stomach Pain,Gallstones,0.9
Nausea,Gallstones,0.8
Vomiting,Gallstones,0.6
Stomach Pain,Pancreatitis,0.9
Nausea,Pancreatitis,0.8
Vomiting,Pancreatitis,0.8
Fever,Pancreatitis,0.6
Stomach Pain,Bowel Obstruction,0.9
Vomiting,Bowel Obstruction,0.9
Bloating,Bowel Obstruction,0.8
Constipation,Bowel Obstruction,0.7
Stomach Pain,Peptic Ulcer,0.9
Heartburn,Peptic Ulcer,0.7
Nausea,Peptic Ulcer,0.6
Back Pain,Kidney Stones,0.9
Nausea,Kidney Stones,0.7
Vomiting,Kidney Stones,0.6
Fatigue,Hepatitis,0.9
Loss of Appetite,Hepatitis,0.8
Nausea,Hepatitis,0.7
Stomach Pain,Hepatitis,0.6
Joint Pain,Inflammatory Bowel Disease,0.4
Fatigue,Inflammatory Bowel Disease,0.6
Stomach Pain,Inflammatory Bowel Disease,0.8
Diarrhea,Inflammatory Bowel Disease,0.8
Bloating,Lactose Intolerance,0.8
Diarrhea,Lactose Intolerance,0.8
Stomach Pain,Lactose Intolerance,0.7
Nausea,Lactose Intolerance,0.5
Back Pain,Hemorrhoids,0.6
Headache,Tension Headache,0.9
Muscle Aches,Tension Headache,0.4
Fatigue,Tension Headache,0.3
Headache,Migraine,0.9
